,error,altitude,pressure,year,flight,dpressure,mach,CPI
0,-0.35775150555673463,5158.455078125,505.164306640625,2018,c086,84.65470886230469,0.47571346163749695,-0.004226008338634017
0,3.244559505022721,8174.4033203125,329.1468200683594,2019,c153,89.36219024658203,0.5959723591804504,0.036307967565139446
1,3.4527283047274864,8185.685546875,329.26470947265625,2019,c153,95.93375396728516,0.615589439868927,0.03599075572404806
2,3.643711600020822,8188.50634765625,329.44158935546875,2019,c153,90.22242736816406,0.5983570218086243,0.04038587418128527
3,2.9030957395606833,8213.9794921875,329.26470947265625,2019,c153,88.8738021850586,0.5943735837936401,0.03266537121384405
4,2.875802237197206,8223.744140625,329.26470947265625,2019,c153,96.10322570800781,0.6160870790481567,0.0299240968865583
5,3.342884542010097,8803.640625,300.95068359375,2019,c153,78.41142272949219,0.5847775936126709,0.04263262195283147
6,2.742319114317752,8793.0283203125,301.0054931640625,2019,c153,85.92743682861328,0.6098604798316956,0.03191435955185594
7,2.5916546601739014,8793.822265625,301.0054931640625,2019,c153,84.86540222167969,0.6063936948776245,0.03053841250176551
0,2.5256796204948273,9726.6748046875,261.8117370605469,2019,c156,89.59019470214844,0.6622826457023621,0.02819147373093341
1,2.5011029777656404,9722.693359375,262.00762939453125,2019,c156,92.56444549560547,0.6718825101852417,0.027020125971417192
2,2.116092104760014,9718.5986328125,261.9586486816406,2019,c156,90.8710708618164,0.6663709878921509,0.023286752149953873
0,2.440691404266488,9896.970703125,261.8606872558594,2019,c158,84.34369659423828,0.644378125667572,0.02893744882926103
1,2.0168692462517015,9903.74609375,261.9586486816406,2019,c158,90.42235565185547,0.6648839712142944,0.022304984555114444
2,2.2575918797645613,9910.833984375,261.90966796875,2019,c158,89.2529525756836,0.661043643951416,0.025294310323797937
3,-6.1732882422725766,9905.720703125,262.1056213378906,2019,c158,87.64451599121094,0.6554088592529297,-0.07043553350093962
4,2.1446876043414704,9910.0654296875,261.90966796875,2019,c158,87.0487060546875,0.6536099910736084,0.024637788446781637
5,2.025411396432162,9904.6494140625,262.00762939453125,2019,c158,84.28531646728516,0.6440116763114929,0.024030418124114338
6,2.5030748931696962,9905.1513671875,261.9586486816406,2019,c158,85.74116516113281,0.6490890383720398,0.029193385562998636
7,1.9473326948476597,9899.595703125,262.1056213378906,2019,c158,83.05573272705078,0.6396185159683228,0.023446096144227074
0,2.973336365205398,9628.7880859375,274.4377746582031,2019,c159,91.37310028076172,0.6541303396224976,0.03254060939236209
1,2.781998491743991,9668.5634765625,274.69219970703125,2019,c159,88.97554016113281,0.6460239887237549,0.03126700311912522
2,2.4610907804523094,9708.0400390625,274.69219970703125,2019,c159,90.8609848022461,0.6521944403648376,0.027086331782653877
3,2.6816933326598473,9752.173828125,274.4377746582031,2019,c159,90.42378997802734,0.6510442495346069,0.029656944630516914
4,2.617164011067075,9777.478515625,274.59039306640625,2019,c159,85.60414123535156,0.634890615940094,0.030572866841473277
0,4.697679219798147,5474.4423828125,506.1654357910156,2019,c162,78.49405670166016,0.4585321545600891,0.0598475784944211
0,4.814069198310449,5353.078125,505.6646728515625,2019,c163,84.6500244140625,0.47547781467437744,0.05687026355435653
1,4.248654416982163,5403.65625,505.9150085449219,2019,c163,77.58424377441406,0.4561052620410919,0.05476182031670837
0,2.6752059222884554,9811.71484375,274.4886474609375,2019,c164,90.14404296875,0.6500762701034546,0.029677012858363386
1,2.767885898075349,9834.4052734375,274.64129638671875,2019,c164,87.77040100097656,0.6420913934707642,0.03153552754127844
2,2.9228808500596415,9859.314453125,274.5395202636719,2019,c164,86.09054565429688,0.6365834474563599,0.03395124084584957
3,2.9096505158281616,9884.08984375,274.5395202636719,2019,c164,96.79022979736328,0.6712532043457031,0.03006140725070812
0,2.808079791804971,9850.9599609375,274.0311279296875,2019,c168,90.3263931274414,0.6511638164520264,0.031088142618991267
1,2.8027845340439512,10133.2236328125,262.0566101074219,2019,c168,92.84700012207031,0.6727486848831177,0.03018713076738073
2,2.919112134398631,10131.7216796875,262.0566101074219,2019,c168,91.09225463867188,0.6669895648956299,0.03204566783397372
3,3.201848033883664,10137.2783203125,261.90966796875,2019,c168,92.28431701660156,0.6710792779922485,0.03469547304887855
